Run: 1, exploration: 0.75, score: 410.92809868153853, time: 2.6588029861450195
Run: 2, exploration: 0.74625, score: 164.51566700651298, time: 7.968584299087524
Run: 3, exploration: 0.74251875, score: 525.8588539323157, time: 13.272513628005981
Run: 4, exploration: 0.73880615625, score: 375.20726204481616, time: 18.394495964050293
Run: 5, exploration: 0.73511212546875, score: 399.51284044618984, time: 23.90558695793152
Run: 6, exploration: 0.7314365648414063, score: 200.41670623142323, time: 29.113309860229492
Run: 7, exploration: 0.7277793820171993, score: 515.07128303578, time: 34.666534185409546
Run: 8, exploration: 0.7241404851071133, score: 442.8375155720939, time: 40.137001752853394
Run: 9, exploration: 0.7205197826815777, score: 334.4601258593639, time: 45.42404317855835
Run: 10, exploration: 0.7169171837681698, score: 1742.6586107567275, time: 52.59147119522095
Run: 11, exploration: 0.713332597849329, score: 357.6442520476467, time: 58.00462222099304
Run: 12, exploration: 0.7097659348600823, score: 556.1937203859012, time: 63.25686454772949
Run: 13, exploration: 0.706217105185782, score: 270.6965546659235, time: 68.72848105430603
Run: 14, exploration: 0.702686019659853, score: 206.63477224392207, time: 74.00298261642456
Run: 15, exploration: 0.6991725895615537, score: 1176.0285289170533, time: 81.00424528121948
Run: 16, exploration: 0.6956767266137459, score: 717.2649145536479, time: 88.72613453865051
Run: 17, exploration: 0.6921983429806772, score: 584.5185370060517, time: 94.50067591667175
Run: 18, exploration: 0.6887373512657737, score: 171.04002191676767, time: 99.85457611083984
Run: 19, exploration: 0.6852936645094448, score: 207.78239329701594, time: 107.00098633766174
Run: 20, exploration: 0.6818671961868976, score: 175.94920480898327, time: 112.0354380607605
Run: 21, exploration: 0.6784578602059631, score: 481.4274817931087, time: 117.94474816322327
Run: 22, exploration: 0.6750655709049332, score: 181.84085042272577, time: 123.47924542427063
Run: 23, exploration: 0.6716902430504086, score: 185.04233691974676, time: 129.16949105262756
Run: 24, exploration: 0.6683317918351566, score: 295.4391693821864, time: 134.63399171829224
Run: 25, exploration: 0.6649901328759807, score: 548.6071798965351, time: 141.22658824920654
Run: 26, exploration: 0.6616651822116009, score: 646.7387452312362, time: 146.89628052711487
Run: 27, exploration: 0.6583568563005429, score: 280.7340117791294, time: 152.16732811927795
Run: 28, exploration: 0.6550650720190402, score: 379.5069934690784, time: 158.00646829605103
Run: 29, exploration: 0.651789746658945, score: 635.4625903295284, time: 165.67923045158386
Run: 30, exploration: 0.6485307979256503, score: 440.27778445235816, time: 171.81143403053284
Run: 31, exploration: 0.645288143936022, score: 338.5783295097619, time: 177.63777494430542
Run: 32, exploration: 0.6420617032163418, score: 976.4682566673047, time: 183.7933554649353
Run: 33, exploration: 0.6388513947002601, score: 222.70309310200975, time: 189.0389003753662
Run: 34, exploration: 0.6356571377267588, score: 779.6116170671926, time: 194.96997213363647
Run: 35, exploration: 0.632478852038125, score: 345.34516829480583, time: 200.39303040504456
Run: 36, exploration: 0.6293164577779344, score: 923.5897151745367, time: 206.4243721961975
Run: 37, exploration: 0.6261698754890448, score: 688.1120883331185, time: 212.35318636894226
Run: 38, exploration: 0.6230390261115996, score: 450.51828779274274, time: 217.6709761619568
Run: 39, exploration: 0.6199238309810415, score: 1956.8209438003746, time: 225.63381934165955
Run: 40, exploration: 0.6168242118261363, score: 468.525419701515, time: 231.7242956161499
Run: 41, exploration: 0.6137400907670056, score: 580.8283008139485, time: 237.56425833702087
Run: 42, exploration: 0.6106713903131706, score: 960.4273418313863, time: 244.51564979553223
Run: 43, exploration: 0.6076180333616048, score: 881.8077555974523, time: 250.58486771583557
Run: 44, exploration: 0.6045799431947968, score: 282.3174310073165, time: 256.4960904121399
Run: 45, exploration: 0.6015570434788228, score: 170.66759320622185, time: 262.43808126449585
Run: 46, exploration: 0.5985492582614287, score: 466.37318950030823, time: 268.3201901912689
Run: 47, exploration: 0.5955565119701215, score: 184.20463768159766, time: 273.65896797180176
Run: 48, exploration: 0.5925787294102709, score: 854.9069062078219, time: 280.0336916446686
Run: 49, exploration: 0.5896158357632195, score: 528.0579778039456, time: 286.30027985572815
Run: 50, exploration: 0.5866677565844034, score: 1002.6733386628434, time: 292.6268038749695
Run: 51, exploration: 0.5837344178014814, score: 479.16599288454745, time: 298.2772161960602
Run: 52, exploration: 0.580815745712474, score: 1197.879724814156, time: 306.16732907295227
Run: 53, exploration: 0.5779116669839116, score: 488.1305326840286, time: 311.96659803390503
Run: 54, exploration: 0.5750221086489921, score: 663.5290022801495, time: 317.83987760543823
Run: 55, exploration: 0.5721469981057471, score: 192.6924247695305, time: 323.75908732414246
Run: 56, exploration: 0.5692862631152183, score: 279.21604304532804, time: 329.4378671646118
Run: 57, exploration: 0.5664398317996423, score: -129.24109727308348, time: 336.8621349334717
Run: 58, exploration: 0.5636076326406441, score: 313.8330991710369, time: 345.1850838661194
Run: 59, exploration: 0.5607895944774408, score: 888.5652748060497, time: 353.83231258392334
Run: 60, exploration: 0.5579856465050536, score: 303.56821285946234, time: 360.0187792778015
Run: 61, exploration: 0.5551957182725283, score: 263.2536501755465, time: 366.2647216320038
Run: 62, exploration: 0.5524197396811656, score: 325.08820197056315, time: 372.20185589790344
Run: 63, exploration: 0.5496576409827598, score: 971.775203618995, time: 378.3315303325653
Run: 64, exploration: 0.546909352777846, score: 739.3330362257756, time: 384.9884612560272
Run: 65, exploration: 0.5441748060139568, score: 604.6471422254853, time: 393.30006670951843
