Run: 1, exploration: 0.75, score: 66, time: 2.7923073768615723
Run: 2, exploration: 0.74625, score: 67, time: 8.669774532318115
Run: 3, exploration: 0.74251875, score: 49, time: 13.916072368621826
Run: 4, exploration: 0.73880615625, score: 41, time: 19.172438144683838
Run: 5, exploration: 0.73511212546875, score: 44, time: 24.615349054336548
Run: 6, exploration: 0.7314365648414063, score: 36, time: 30.03350830078125
Run: 7, exploration: 0.7277793820171993, score: 39, time: 35.72027635574341
Run: 8, exploration: 0.7241404851071133, score: 38, time: 41.27846074104309
Run: 9, exploration: 0.7205197826815777, score: 36, time: 46.71468186378479
Run: 10, exploration: 0.7169171837681698, score: 50, time: 52.426878929138184
Run: 11, exploration: 0.713332597849329, score: 146, time: 58.73195815086365
Run: 12, exploration: 0.7097659348600823, score: 48, time: 64.28540849685669
Run: 13, exploration: 0.706217105185782, score: 45, time: 69.6927924156189
Run: 14, exploration: 0.702686019659853, score: 64, time: 75.61496233940125
Run: 15, exploration: 0.6991725895615537, score: 51, time: 81.25621151924133
Run: 16, exploration: 0.6956767266137459, score: 45, time: 87.03818869590759
Run: 17, exploration: 0.6921983429806772, score: 46, time: 92.79343771934509
Run: 18, exploration: 0.6887373512657737, score: 68, time: 98.58768630027771
Run: 19, exploration: 0.6852936645094448, score: 58, time: 104.44780683517456
Run: 20, exploration: 0.6818671961868976, score: 83, time: 110.43593883514404
Run: 21, exploration: 0.6784578602059631, score: 81, time: 116.59275603294373
Run: 22, exploration: 0.6750655709049332, score: 91, time: 122.68867754936218
Run: 23, exploration: 0.6716902430504086, score: 37, time: 128.33184599876404
Run: 24, exploration: 0.6683317918351566, score: 60, time: 134.3470265865326
Run: 25, exploration: 0.6649901328759807, score: 64, time: 140.00408172607422
Run: 26, exploration: 0.6616651822116009, score: 42, time: 145.41004180908203
Run: 27, exploration: 0.6583568563005429, score: 68, time: 150.59067392349243
Run: 28, exploration: 0.6550650720190402, score: 91, time: 156.20949792861938
Run: 29, exploration: 0.651789746658945, score: 77, time: 161.6029007434845
Run: 30, exploration: 0.6485307979256503, score: 50, time: 166.8299741744995
Run: 31, exploration: 0.645288143936022, score: 81, time: 172.55750370025635
Run: 32, exploration: 0.6420617032163418, score: 108, time: 178.39023160934448
Run: 33, exploration: 0.6388513947002601, score: 59, time: 184.01795411109924
Run: 34, exploration: 0.6356571377267588, score: 58, time: 189.9112298488617
Run: 35, exploration: 0.632478852038125, score: 64, time: 195.97798013687134
Run: 36, exploration: 0.6293164577779344, score: 260, time: 203.44501519203186
Run: 37, exploration: 0.6261698754890448, score: 67, time: 209.32300782203674
Run: 38, exploration: 0.6230390261115996, score: 60, time: 215.14029932022095
Run: 39, exploration: 0.6199238309810415, score: 37, time: 220.9336633682251
Run: 40, exploration: 0.6168242118261363, score: 56, time: 226.68273067474365
Run: 41, exploration: 0.6137400907670056, score: 72, time: 232.54558682441711
Run: 42, exploration: 0.6106713903131706, score: 95, time: 238.9682743549347
Run: 43, exploration: 0.6076180333616048, score: 129, time: 245.43421506881714
Run: 44, exploration: 0.6045799431947968, score: 126, time: 252.28372383117676
Run: 45, exploration: 0.6015570434788228, score: 42, time: 258.0380308628082
Run: 46, exploration: 0.5985492582614287, score: 102, time: 264.78462266921997
Run: 47, exploration: 0.5955565119701215, score: 49, time: 270.75630831718445
Run: 48, exploration: 0.5925787294102709, score: 59, time: 276.6941931247711
Run: 49, exploration: 0.5896158357632195, score: 174, time: 283.69762778282166
Run: 50, exploration: 0.5866677565844034, score: 41, time: 289.4471654891968
Run: 51, exploration: 0.5837344178014814, score: 75, time: 295.63381361961365
Run: 52, exploration: 0.580815745712474, score: 157, time: 302.84183144569397
Run: 53, exploration: 0.5779116669839116, score: 41, time: 308.72543025016785
Run: 54, exploration: 0.5750221086489921, score: 68, time: 314.6794331073761
Run: 55, exploration: 0.5721469981057471, score: 47, time: 320.76647686958313
Run: 56, exploration: 0.5692862631152183, score: 44, time: 326.6655972003937
Run: 57, exploration: 0.5664398317996423, score: 46, time: 332.510986328125
Run: 58, exploration: 0.5636076326406441, score: 97, time: 338.93706011772156
Run: 59, exploration: 0.5607895944774408, score: 52, time: 345.1572334766388
Run: 60, exploration: 0.5579856465050536, score: 52, time: 351.14364075660706
Run: 61, exploration: 0.5551957182725283, score: 36, time: 357.2976167201996
Run: 62, exploration: 0.5524197396811656, score: 65, time: 363.5370600223541
Run: 63, exploration: 0.5496576409827598, score: 80, time: 369.88389587402344
Run: 64, exploration: 0.546909352777846, score: 92, time: 376.39149355888367
Run: 65, exploration: 0.5441748060139568, score: 114, time: 382.9766101837158
Run: 66, exploration: 0.541453931983887, score: 128, time: 389.9764688014984
Run: 67, exploration: 0.5387466623239676, score: 38, time: 395.78394770622253
Run: 68, exploration: 0.5360529290123478, score: 139, time: 402.7712709903717
Run: 69, exploration: 0.533372664367286, score: 41, time: 408.5197365283966
Run: 70, exploration: 0.5307058010454496, score: 58, time: 414.8878951072693
Run: 71, exploration: 0.5280522720402224, score: 45, time: 420.97760462760925
Run: 72, exploration: 0.5254120106800213, score: 83, time: 427.45397996902466
Run: 73, exploration: 0.5227849506266212, score: 104, time: 434.09929060935974
Run: 74, exploration: 0.5201710258734881, score: 94, time: 440.5830388069153
Run: 75, exploration: 0.5175701707441206, score: 30, time: 446.56845903396606
Run: 76, exploration: 0.5149823198904, score: 38, time: 452.3579730987549
Run: 77, exploration: 0.512407408290948, score: 60, time: 458.6185567378998
Run: 78, exploration: 0.5098453712494933, score: 74, time: 464.92149662971497
Run: 79, exploration: 0.5072961443932458, score: 51, time: 470.96537375450134
Run: 80, exploration: 0.5047596636712796, score: 75, time: 477.08871722221375
Run: 81, exploration: 0.5022358653529232, score: 43, time: 483.1348876953125
Run: 82, exploration: 0.49972468602615855, score: 31, time: 488.8235056400299
Run: 83, exploration: 0.49722606259602775, score: 214, time: 497.14489102363586
Run: 84, exploration: 0.49473993228304763, score: 49, time: 502.7897460460663
Run: 85, exploration: 0.4922662326216324, score: 45, time: 508.6410331726074
Run: 86, exploration: 0.48980490145852423, score: 65, time: 514.7595973014832
Run: 87, exploration: 0.4873558769512316, score: 201, time: 523.2156612873077
Run: 88, exploration: 0.48491909756647544, score: 625, time: 537.1985807418823
Run: 89, exploration: 0.4824945020786431, score: 37, time: 543.1383016109467
Run: 90, exploration: 0.48008202956824986, score: 69, time: 549.3533158302307
Run: 91, exploration: 0.4776816194204086, score: 50, time: 555.303469657898
Run: 92, exploration: 0.47529321132330654, score: 69, time: 561.3147032260895
Run: 93, exploration: 0.47291674526669003, score: 30, time: 566.9557771682739
