Run: 0, exploration: 0, score: 55, time: 1.2689878940582275
Run: 1, exploration: 0, score: 135, time: 1.7735114097595215
Run: 2, exploration: 0, score: 256, time: 2.047253131866455
Run: 3, exploration: 0, score: 227, time: 2.321046829223633
Run: 4, exploration: 0, score: 547, time: 2.6062912940979004
Run: 5, exploration: 0, score: 624, time: 2.879319906234741
Run: 6, exploration: 0, score: 530, time: 3.125061511993408
Run: 7, exploration: 0, score: 189, time: 3.3989603519439697
Run: 8, exploration: 0, score: 492, time: 3.7489280700683594
Run: 9, exploration: 0, score: 269, time: 4.048312425613403
Run: 10, exploration: 0, score: 502, time: 4.32872200012207
Run: 11, exploration: 0, score: 182, time: 4.6022162437438965
Run: 12, exploration: 0, score: 181, time: 4.85463547706604
Run: 13, exploration: 0, score: 430, time: 5.170560598373413
Run: 14, exploration: 0, score: 487, time: 5.460273742675781
Run: 15, exploration: 0, score: 698, time: 5.784456968307495
Run: 16, exploration: 0, score: 364, time: 6.082650184631348
Run: 17, exploration: 0, score: 245, time: 6.369124174118042
Run: 18, exploration: 0, score: 123, time: 6.633630275726318
Run: 19, exploration: 0, score: 184, time: 6.869791507720947
Run: 20, exploration: 0, score: 179, time: 7.171840667724609
Run: 21, exploration: 0, score: 262, time: 7.435149192810059
Run: 22, exploration: 0, score: 208, time: 7.667985677719116
Run: 23, exploration: 0, score: 172, time: 7.889094352722168
Run: 24, exploration: 0, score: 356, time: 8.132184028625488
Run: 25, exploration: 0, score: 223, time: 8.371058225631714
Run: 26, exploration: 0, score: 173, time: 8.597259521484375
Run: 27, exploration: 0, score: 129, time: 8.822320222854614
Run: 28, exploration: 0, score: 138, time: 9.045637607574463
Run: 29, exploration: 0, score: 481, time: 9.335715055465698
Run: 30, exploration: 0, score: 218, time: 9.58456015586853
Run: 31, exploration: 0, score: 173, time: 9.880139827728271
Run: 32, exploration: 0, score: 160, time: 10.11176872253418
Run: 33, exploration: 0, score: 145, time: 10.34278392791748
Run: 34, exploration: 0, score: 488, time: 10.610215902328491
Run: 35, exploration: 0, score: 286, time: 10.860559463500977
Run: 36, exploration: 0, score: 206, time: 11.110533475875854
Run: 37, exploration: 0, score: 219, time: 11.36507797241211
Run: 38, exploration: 0, score: 280, time: 11.619755983352661
Run: 39, exploration: 0, score: 210, time: 11.868261337280273
Run: 40, exploration: 0, score: 401, time: 12.145326375961304
Run: 41, exploration: 0, score: 224, time: 12.398940563201904
Run: 42, exploration: 0, score: 292, time: 12.710623264312744
Run: 43, exploration: 0, score: 217, time: 12.933717012405396
Run: 44, exploration: 0, score: 108, time: 13.153470039367676
Run: 45, exploration: 0, score: 153, time: 13.381603002548218
Run: 46, exploration: 0, score: 291, time: 13.628316164016724
Run: 47, exploration: 0, score: 158, time: 13.856853485107422
Run: 48, exploration: 0, score: 130, time: 14.075384855270386
Run: 49, exploration: 0, score: 119, time: 14.303069829940796
Run: 50, exploration: 0, score: 138, time: 14.533077239990234
